#22 mm plaque. Table 1 from  Chiu-Tsao et al Medical Physics, Vol. 39, No. 10, October 2012
Seed_num x_c y_c z_c x_p1 y_p1 z_p1 x_p2 y_p2 z_p2 angle_deg
1 -9.20 0.00 1.15 -9.20 2.25 1.15 -9.20 -2.25 1.15 180
2 -6.51 -6.51 1.15 -8.10 -4.91 1.15 -4.91 -8.10 1.15 225
3 0.00 -9.20 1.15 -2.25 -9.20 1.15 2.25 -9.20 1.15 270
4 6.51 -6.51 1.15 4.91 -8.10 1.15 8.10 -4.91 1.15 315
5 9.20 0.00 1.15 9.20 -2.25 1.15 9.20 2.25 1.15 0
6 6.51 6.51 1.15 8.10 4.91 1.15 4.91 8.10 1.15 45
7 0.00 9.20 1.15 2.25 9.20 1.15 -2.25 9.20 1.15 90
8 -6.51 6.51 1.15 -4.91 8.10 1.15 -8.10 4.91 1.15 135
9 -7.19 -1.27 -0.29 -7.58 0.95 -0.29 -6.80 -3.48 -0.29 190
10 -2.50 -6.86 -0.29 -4.61 -6.09 -0.29 -0.38 -7.63 -0.29 250
11 4.69 -5.59 -0.29 2.97 -7.04 -0.29 6.42 -4.15 -0.29 310
12 7.19 1.27 -0.29 7.58 -0.95 -0.29 6.80 3.48 -0.29 10
13 2.50 6.86 -0.29 4.61 6.09 -0.29 0.38 7.63 -0.29 70
14 -4.69 5.59 -0.29 -2.97 7.04 -0.29 -6.42 4.15 -0.29 130
15 -3.09 -3.68 -1.53 -4.81 -2.23 -1.53 -1.36 -5.12 -1.53 230
16 3.68 -3.09 -1.53 2.23 -4.81 -1.53 5.12 -1.36 -1.53 320
17 3.09 3.68 -1.53 4.81 2.23 -1.53 1.36 5.12 -1.53 50
18 -3.68 3.09 -1.53 -2.23 4.81 -1.53 -5.12 1.36 -1.53 140
19 0.20 -2.24 -2.21 -2.05 -2.44 -2.21 2.44 -2.05 -2.21 275
20 -0.20 2.24 -2.21 2.05 2.44 -2.21 -2.44 2.05 -2.21 95
21 0.00 0.00 -2.40 2.24 0.20 -2.40 -2.24 -0.20 -2.40 95
