#16 mm plaque. Table 1 from  Chiu-Tsao et al Medical Physics, Vol. 39, No. 10, October 2012
Seed_num x_c y_c z_c x_p1 y_p1 z_p1 x_p2 y_p2 z_p2 angle_deg
1 -5.68 -2.73 -0.87 -6.65 -0.71 -0.87 -4.70 -4.76 -0.87 206
2 -1.40 -6.14 -0.87 -3.60 -5.64 -0.87 0.79 -6.64 -0.87 257
3 3.93 -4.93 -0.87 2.17 -6.33 -0.87 5.69 -3.52 -0.87 309
4 6.30 0.00 -0.87 6.30 -2.25 -0.87 6.30 2.25 -0.87 0
5 3.93 4.93 -0.87 5.69 3.52 -0.87 2.17 6.33 -0.87 51
6 -1.40 6.14 -0.87 0.79 6.64 -0.87 -3.60 5.64 -0.87 103
7 -5.68 2.73 -0.87 -4.70 4.76 -0.87 -6.65 0.71 -0.87 154
8 -4.50 0.00 -1.64 -4.50 2.25 -1.64 -4.50 -2.25 -1.64 180
9 0.00 -4.50 -1.64 -2.25 -4.50 -1.64 2.25 -4.50 -1.64 270
10 4.50 0.00 -1.64 4.50 -2.25 -1.64 4.50 2.25 -1.64 0
11 0.00 4.50 -1.64 2.25 4.50 -1.64 -2.25 4.50 -1.64 90
12 0.00 -1.80 -2.28 -2.25 -1.80 -2.28 2.25 -1.80 -2.28 270
13 0.00 1.80 -2.28 2.25 1.80 -2.28 -2.25 1.80 -2.28 90
