#18 mm plaque. Table 1 from  Chiu-Tsao et al Medical Physics, Vol. 39, No. 10, October 2012
Seed_num x_c y_c z_c x_p1 y_p1 z_p1 x_p2 y_p2 z_p2 angle_deg
1 -7.70 0.00 -0.03 -7.70 2.25 -0.03 -7.70 -2.25 -0.03 180
2 -5.44 -5.44 -0.03 -7.04 -3.85 -0.03 -3.85 -7.04 -0.03 225
3 0.00 -7.70 -0.03 -2.25 -7.70 -0.03 2.25 -7.70 -0.03 270
4 5.44 -5.44 -0.03 3.85 -7.04 -0.03 7.04 -3.85 -0.03 315
5 7.70 0.00 -0.03 7.70 -2.25 -0.03 7.70 2.25 -0.03 0
6 5.44 5.44 -0.03 7.04 3.85 -0.03 3.85 7.04 -0.03 45
7 0.00 7.70 -0.03 2.25 7.70 -0.03 -2.25 7.70 -0.03 90
8 -5.44 5.44 -0.03 -3.85 7.04 -0.03 -7.04 3.85 -0.03 135
9 -6.20 0.00 -0.92 -6.20 2.25 -0.92 -6.20 -2.25 -0.92 180
10 -3.10 -5.37 -0.92 -5.05 -4.24 -0.92 -1.15 -6.49 -0.92 240
11 3.10 -5.37 -0.92 1.15 -6.49 -0.92 5.05 -4.24 -0.92 300
12 6.20 0.00 -0.92 6.20 -2.25 -0.92 6.20 2.25 -0.92 0
13 3.10 5.37 -0.92 5.05 4.24 -0.92 1.15 6.49 -0.92 60
14 -3.10 5.37 -0.92 -1.15 6.49 -0.92 -5.05 4.24 -0.92 120
15 -3.18 -3.18 -1.64 -4.77 -1.59 -1.64 -1.59 -4.77 -1.64 225
16 3.18 -3.18 -1.64 1.59 -4.77 -1.64 4.77 -1.59 -1.64 315
17 3.18 3.18 -1.64 4.77 1.59 -1.64 1.59 4.77 -1.64 45
18 -3.18 3.18 -1.64 -1.59 4.77 -1.64 -4.77 1.59 -1.64 135
19 0.00 -2.00 -2.25 -2.25 -2.00 -2.25 2.25 -2.00 -2.25 270
20 0.00 2.00 -2.25 2.25 2.00 -2.25 -2.25 2.00 -2.25 90
21 0.00 0.00 -2.40 2.25 0.00 -2.40 -2.25 0.00 -2.40 90
